2021-08-04 10:57:29.029 INFO  [6407159] [OramAccessController::OramAccessController@16] Warming up OramAccessController...

2021-08-04 10:57:29.037 INFO  [6407159] [SEAL::Cache<ODict::Node>::Cache@49] Client Cache started.
2021-08-04 10:57:29.064 INFO  [6407159] [SEAL::Connector::Connector@10] Connection to PostgreSQL established with code 1
2021-08-04 10:57:29.064 INFO  [6407159] [SEAL::Client::init_key@30] Initializing secret key...
2021-08-04 10:57:29.145 INFO  [6407159] [SEAL::Client::init_key@47] Key sampled: jÊ	àû§Ñóýn/ÊÛ˜sÌRc¡zeMGöÜnïáá$G
2021-08-04 10:57:29.145 INFO  [6407159] [SEAL::Client::init_dummy_data@20] Initializing dummy data!
2021-08-04 10:57:29.145 INFO  [6407159] [SEAL::Client::Client@837] Client initialized

2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::insert@286] Inserting 1
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 1 into cache
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::insert@286] Inserting 2
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 1 from Oblivious Data Structure
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 1
2021-08-04 10:57:29.147 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 1
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 2 into cache
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 1 to the Oblivious Data Structure
2021-08-04 10:57:29.147 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 1 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::insert@286] Inserting 3
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 1 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 3 into cache
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 2 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 1 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 1 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::left_rotate@411] Doing left rotating
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 1 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 1 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 2 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::insert@286] Inserting 4
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 2 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 2
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 2
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 3 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 3
2021-08-04 10:57:29.148 INFO  [6407159] [*SEAL::Client::insert_priv@314] Reading 3
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@152] Insert a new node 4 into cache
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@110] Write node 3 to the Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@116] Found node in cache: 3
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@84] Read node 3 from Oblivious Data Structure
2021-08-04 10:57:29.148 INFO  [6407159] [SEAL::Client::ODS_access@89] Found node in cache: 3
