2021-08-16 11:47:49.175 INFO  [12526261] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:47:49.177 INFO  [12526261] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:47:49.306 INFO  [12526261] [SEAL::Cache<ODict::Node>::Cache@105] Client Cache started.
2021-08-16 11:47:49.306 INFO  [12526261] [SEAL::Client::init_dummy_data@58] Initializing dummy data!
2021-08-16 11:47:49.312 DEBUG [12526261] [SEAL::Client::adj_data_in@659] Reading data...
2021-08-16 11:48:30.231 INFO  [12528186] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:48:30.233 INFO  [12528186] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:48:30.369 INFO  [12528186] [SEAL::Cache<ODict::Node>::Cache@105] Client Cache started.
2021-08-16 11:48:30.369 INFO  [12528186] [SEAL::Client::init_dummy_data@58] Initializing dummy data!
2021-08-16 11:48:30.377 DEBUG [12528186] [SEAL::Client::adj_data_in@659] Reading data...
2021-08-16 11:48:42.453 INFO  [12528886] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:48:42.454 INFO  [12528886] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:48:42.590 INFO  [12528886] [SEAL::Cache<ODict::Node>::Cache@105] Client Cache started.
2021-08-16 11:48:42.590 INFO  [12528886] [SEAL::Client::init_dummy_data@58] Initializing dummy data!
2021-08-16 11:48:42.599 DEBUG [12528886] [SEAL::Client::adj_data_in@659] Reading data...
2021-08-16 11:49:14.279 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:14.279 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:14.419 INFO  [12530625] [SEAL::Cache<ODict::Node>::Cache@105] Client Cache started.
2021-08-16 11:49:14.420 INFO  [12530625] [SEAL::Client::init_dummy_data@58] Initializing dummy data!
2021-08-16 11:49:14.427 DEBUG [12530625] [SEAL::Client::adj_data_in@659] Reading data...
2021-08-16 11:49:14.430 INFO  [12530625] [SEAL::Client::adj_insert_range@780] Inserting sorted documents
2021-08-16 11:49:14.430 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:14.430 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:14.597 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:14.597 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:14.724 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:14.724 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:14.844 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:14.844 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:14.957 INFO  [12530625] [SEAL::Client::adj_insert_range@780] Inserting sorted documents
2021-08-16 11:49:14.958 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:14.958 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:15.084 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:15.084 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:15.198 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:15.198 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:15.325 INFO  [12530625] [OramAccessController::OramAccessController@47] Warming up OramAccessController...

2021-08-16 11:49:15.325 INFO  [12530625] [ServerStorage::ServerStorage@37] The server storage interface class is initialized.
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::insert@299] Inserting 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 1 into cache
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::insert@299] Inserting 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 2 into cache
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 1 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::insert@299] Inserting 3
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 3 into cache
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 2 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 1 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [*SEAL::Client::left_rotate@395] Doing left rotating
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 1 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 1
